"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"¿Estás aprovechando el domingo para buscar #cursos de #DataScience con #rstats? ¡No busques más! En el #IC este cua… https://t.co/oyzoUqsTDW",FALSE,9,NA,2017-08-06 14:22:25,TRUE,NA,"894202000707026949",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","InstitCalculo",7,FALSE,FALSE,NA,NA
"RT @greatlakescisco: Time budget for research projects: 5% Field work 5% Writing 90% Messing with figure coding in R #phdlife #rstats https…",FALSE,0,NA,2017-08-06 14:17:39,FALSE,NA,"894200803703042049",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sfs_src",8,TRUE,FALSE,NA,NA
"RT @dataandme: ���� guide (w/ code): ""Interactive flow visualization in #Rstats"" by @kyle_e_walker https://t.co/hPB87OR74X #dataviz #visualiz…",FALSE,0,NA,2017-08-06 14:15:57,FALSE,NA,"894200375464517632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shan_gemini",37,TRUE,FALSE,NA,NA
"RT @greatlakescisco: Time budget for research projects: 5% Field work 5% Writing 90% Messing with figure coding in R #phdlife #rstats https…",FALSE,0,NA,2017-08-06 14:13:21,FALSE,NA,"894199722075975680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ReelAngle",8,TRUE,FALSE,NA,NA
"RT @Rbloggers: Automatic tools for improving R packages https://t.co/RHsp7PrVq7 #rstats #DataScience",FALSE,0,NA,2017-08-06 14:13:03,FALSE,NA,"894199643755753473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","claczny",35,TRUE,FALSE,NA,NA
"RT @greatlakescisco: Time budget for research projects: 5% Field work 5% Writing 90% Messing with figure coding in R #phdlife #rstats https…",FALSE,0,NA,2017-08-06 14:10:06,FALSE,NA,"894198901187768320",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","McLResearchLab",8,TRUE,FALSE,NA,NA
"RT @dataandme: �� useful cheat sheet: ""Basic Regular Expressions in R"" by Ian Kopacka https://t.co/q2AlmRjOnp #RegEx #rstats #SoDS17 https:/…",FALSE,0,NA,2017-08-06 14:04:35,FALSE,NA,"894197512797552641",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","baladzhaeval",112,TRUE,FALSE,NA,NA
"New #rstats blog post on memoization: https://t.co/GiqjxGsJXF. Thanks again to @hadleywickham, @jimhester_, @krlmlr + others for pkg memoise",FALSE,6,NA,2017-08-06 14:02:30,FALSE,NA,"894196991735083009",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wmlandau",4,FALSE,FALSE,NA,NA
"RT @R_Programming: R Tip: How to join multiple dataframes in one go using dplyr. #rstats #DataScience https://t.co/jHVyMbTDGb",FALSE,0,NA,2017-08-06 13:56:21,FALSE,NA,"894195444527628295",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GhezaeAFisseha",41,TRUE,FALSE,NA,NA
"RT @ImDataScientist: RT @Rbloggers: New online R tutorial by DataCamp: Intermediate R programming https://t.co/2GhP3z4v1Q #rstats #DataScie…",FALSE,0,NA,2017-08-06 13:56:15,FALSE,NA,"894195418380337152",NA,"<a href=""https://twitter.com/alevergara78"" rel=""nofollow"">realtimeApp_reactjs</a>","alevergara78",1,TRUE,FALSE,NA,NA
"RT @Rbloggers: New online R tutorial by DataCamp: Intermediate R programming https://t.co/2GhP3z4v1Q #rstats #DataScience",FALSE,0,NA,2017-08-06 13:55:46,FALSE,NA,"894195297668263936",NA,"<a href=""http://datasciencepakistan.com"" rel=""nofollow"">Data Pakistan</a>","ImDataScientist",1,FALSE,FALSE,NA,NA
"RT @ma_salmon: New #rstats post ""Who are the Swedish radio P1 summer guests? Answer via Wikidata"" https://t.co/o7968bNZUf https://t.co/vLBC…",FALSE,0,NA,2017-08-06 13:51:03,FALSE,NA,"894194107928764416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dirk_sch",2,TRUE,FALSE,NA,NA
"RT @ma_salmon: ICYMI fuzzyjoin #rstats ""Join tables together on inexact matching"" https://t.co/ZZnhCpUQh3 by @drob String/geo distance, int…",FALSE,0,NA,2017-08-06 13:46:52,FALSE,NA,"894193054445441024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","r_solymosi",11,TRUE,FALSE,NA,NA
"How to get X from A to B? The ""Minimum Cost Flow Problem"". https://t.co/I1hVuVAGiA - #DataScience for #optimization… https://t.co/v1Iv5cLzoH",FALSE,2,NA,2017-08-06 13:41:10,TRUE,NA,"894191621625053184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JanLauGe",0,FALSE,FALSE,NA,NA
"RT @Rbloggers: Clustering with FactoMineR https://t.co/tmzIq51vm3 #rstats #DataScience",FALSE,0,NA,2017-08-06 13:39:32,FALSE,NA,"894191209253675008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jjmerelo",38,TRUE,FALSE,NA,NA
"RT @R_Programming: R Tip: How to join multiple dataframes in one go using dplyr. #rstats #DataScience https://t.co/jHVyMbTDGb",FALSE,0,NA,2017-08-06 13:38:35,FALSE,NA,"894190971025448960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SubhashGowda16",41,TRUE,FALSE,NA,NA
"Rewriting our intro to #rstats for undergrad psych students. So much to cover, so much to assume to be unknown ;__;",FALSE,2,NA,2017-08-06 13:36:21,FALSE,NA,"894190408707846145",NA,"<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix 2 Preview</a>","Jemus42",0,FALSE,FALSE,NA,NA
"RT @R_Programming: R Tip: How to join multiple dataframes in one go using dplyr. #rstats #DataScience https://t.co/jHVyMbTDGb",FALSE,0,NA,2017-08-06 13:33:10,FALSE,NA,"894189606467457025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nnnebe",41,TRUE,FALSE,NA,NA
"RT @dirk_sch: I wrote an article about solving Sudokus with the SAT solver PicoSAT and #rstats: https://t.co/b4YlMSeiS2 https://t.co/eFxbHY…",FALSE,0,NA,2017-08-06 13:30:31,FALSE,NA,"894188939292143618",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lenkiefer",4,TRUE,FALSE,NA,NA
"RT @R_Programming: R Tip: How to join multiple dataframes in one go using dplyr. #rstats #DataScience https://t.co/jHVyMbTDGb",FALSE,0,NA,2017-08-06 13:30:17,FALSE,NA,"894188883268820992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","salazarbiol",41,TRUE,FALSE,NA,NA
"RT @R_Programming: R Tip: How to join multiple dataframes in one go using dplyr. #rstats #DataScience https://t.co/jHVyMbTDGb",FALSE,0,NA,2017-08-06 13:29:29,FALSE,NA,"894188679824101377",NA,"<a href=""http://semanticearth.com"" rel=""nofollow"">Information Service Provider7</a>","Algorithmic_Ef",41,TRUE,FALSE,NA,NA
"RT @R_Programming: R Tip: How to join multiple dataframes in one go using dplyr. #rstats #DataScience https://t.co/jHVyMbTDGb",FALSE,0,NA,2017-08-06 13:28:35,FALSE,NA,"894188454107521024",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RosselloFJ",41,TRUE,FALSE,NA,NA
"RT @R_Programming: R Tip: How to join multiple dataframes in one go using dplyr. #rstats #DataScience https://t.co/jHVyMbTDGb",FALSE,0,NA,2017-08-06 13:16:42,FALSE,NA,"894185463447261184",NA,"<a href=""http://semanticearth.com/"" rel=""nofollow"">Infomation Service Provider13</a>","scientific_me",41,TRUE,FALSE,NA,NA
"RT @R_Programming: R Tip: How to join multiple dataframes in one go using dplyr. #rstats #DataScience https://t.co/jHVyMbTDGb",FALSE,0,NA,2017-08-06 13:13:46,FALSE,NA,"894184725706932225",NA,"<a href=""http://semanticearth.com"" rel=""nofollow"">Information Service Provider14</a>","math_theor",41,TRUE,FALSE,NA,NA
"RT @R_Programming: R Tip: How to join multiple dataframes in one go using dplyr. #rstats #DataScience https://t.co/jHVyMbTDGb",FALSE,0,NA,2017-08-06 13:12:41,FALSE,NA,"894184453899210754",NA,"<a href=""http://semanticearth.com"" rel=""nofollow"">Information Service Provider2</a>","joseFreedomVE",41,TRUE,FALSE,NA,NA
"RT @ScientistTrump: I, and all other SPSS users, love watching the Base-R wing of the #Rstats community arguing with the ggplot ""Corporate…",FALSE,0,NA,2017-08-06 13:06:14,FALSE,NA,"894182830485458946",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NeilLewisJr",9,TRUE,FALSE,NA,NA
"RT @dirk_sch: I wrote an article about solving Sudokus with the SAT solver PicoSAT and #rstats: https://t.co/b4YlMSeiS2 https://t.co/eFxbHY…",FALSE,0,NA,2017-08-06 13:04:12,FALSE,NA,"894182320571338752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeoOptimization",4,TRUE,FALSE,NA,NA
"This �� ��-writing guide makes me think I could write mine own... ""Writing an R Package"" by @jalapic… https://t.co/CMufceqXJW",FALSE,129,NA,2017-08-06 13:02:08,TRUE,NA,"894181797344546817",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","dataandme",28,FALSE,FALSE,NA,NA
"Who are the Swedish radio P1 summer guests? Answer via Wikidata @ma_salmon #rstats #datascience https://t.co/VzMlMOQifw",FALSE,0,NA,2017-08-06 12:54:56,FALSE,NA,"894179987519152128",NA,"<a href=""https://rweekly.org/live"" rel=""nofollow"">R Weekly Live</a>","rweekly_live",1,FALSE,FALSE,NA,NA
"so I created a code that generates a code that generates an analysis report �� #rstats #rmarkdown https://t.co/bEx48nfLdW",FALSE,12,NA,2017-08-06 12:54:52,FALSE,NA,"894179969148096512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AndrewRaafat",0,FALSE,FALSE,NA,NA
"RT @Rbloggers: Can we believe in the imputations? https://t.co/GF6PlLfcfp #rstats #DataScience",FALSE,0,NA,2017-08-06 12:54:08,FALSE,NA,"894179785047502848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaritoTV",30,TRUE,FALSE,NA,NA
"Featuring @bearloga's #rstats package WikidataQueryServiceR &amp; @awrno's WikidataR �� https://t.co/bxW2m34MnM",FALSE,8,NA,2017-08-06 12:53:44,FALSE,NA,"894179683511750656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ma_salmon",0,FALSE,FALSE,NA,NA
"New #rstats post ""Who are the Swedish radio P1 summer guests? Answer via Wikidata"" https://t.co/o7968bNZUf https://t.co/vLBClvEiPw",FALSE,6,NA,2017-08-06 12:51:28,FALSE,NA,"894179116127268864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ma_salmon",2,FALSE,FALSE,NA,NA
"RT @R_Programming: R Tip: How to join multiple dataframes in one go using dplyr. #rstats #DataScience https://t.co/jHVyMbTDGb",FALSE,0,NA,2017-08-06 12:50:11,FALSE,NA,"894178789462298624",NA,"<a href=""http://semanticearth.com"" rel=""nofollow"">Information Service Provider16</a>","deusex_mac",41,TRUE,FALSE,NA,NA
"LearnGeom beautiful vignette #rstats https://t.co/31FdCmu6YH",FALSE,1,NA,2017-08-06 12:49:35,FALSE,NA,"894178639402500098",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mdsumner",0,FALSE,FALSE,NA,NA
"RT @dataandme: �� useful cheat sheet: ""Basic Regular Expressions in R"" by Ian Kopacka https://t.co/q2AlmRjOnp #RegEx #rstats #SoDS17 https:/…",FALSE,0,NA,2017-08-06 12:48:56,FALSE,NA,"894178476311404544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DruleyLab",112,TRUE,FALSE,NA,NA
"RT @juliasilge: I put the data from the online survey about discovering and learning about #rstats packages INTO A PACKAGE. #meta ��https://…",FALSE,0,NA,2017-08-06 12:42:23,FALSE,NA,"894176828578947072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WonderMixTape",8,TRUE,FALSE,NA,NA
"RT @R_Programming: R Tip: How to join multiple dataframes in one go using dplyr. #rstats #DataScience https://t.co/jHVyMbTDGb",FALSE,0,NA,2017-08-06 12:41:35,FALSE,NA,"894176628263309313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","m_0erv",41,TRUE,FALSE,NA,NA
"Queen Elizabeth II has another #rstats package on CRAN. This one's for reproducible research. https://t.co/T71aefEPTL",FALSE,6,NA,2017-08-06 12:40:58,FALSE,NA,"894176471392059392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thosjleeper",0,FALSE,FALSE,NA,NA
"RT @dataandme: �� useful cheat sheet: ""Basic Regular Expressions in R"" by Ian Kopacka https://t.co/q2AlmRjOnp #RegEx #rstats #SoDS17 https:/…",FALSE,0,NA,2017-08-06 12:39:48,FALSE,NA,"894176178541559808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amarkos",112,TRUE,FALSE,NA,NA
"RT @dataandme: �� useful cheat sheet: ""Basic Regular Expressions in R"" by Ian Kopacka https://t.co/q2AlmRjOnp #RegEx #rstats #SoDS17 https:/…",FALSE,0,NA,2017-08-06 12:23:51,FALSE,NA,"894172165402234880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stevesmithcam",112,TRUE,FALSE,NA,NA
